Neurological Disease,Source,Disease Class
Alcohol withdrawal with seizures,ICD,Diseases of the nervous system
"Alcohol withdrawal, uncomplicated",ICD,Diseases of the nervous system
Alcohol-Induced Amnestic Psychoses,MeSH,Neurotoxicity Syndromes
Alcohol-Induced Amnestic Psychosis,MeSH,Neurotoxicity Syndromes
Alcohol-Induced Amnestic Syndrome,MeSH,Neurotoxicity Syndromes
Alcohol-Induced Amnestic Syndromes,MeSH,Neurotoxicity Syndromes
"Alcohol-Induced Disorders, Nervous System",MeSH,Neurotoxicity Syndromes
Alcohol-Induced Dysmnesic Psychoses,MeSH,Neurotoxicity Syndromes
Alcohol-Induced Dysmnesic Psychosis,MeSH,Neurotoxicity Syndromes
Alcohol-Induced Dysmnesic Syndrome,MeSH,Neurotoxicity Syndromes
Alcohol-Induced Dysmnesic Syndromes,MeSH,Neurotoxicity Syndromes
Alcohol-Induced Korsakoff Syndrome,MeSH,Neurotoxicity Syndromes
Alcohol-Induced Peripheral Neuropathies,MeSH,Neurotoxicity Syndromes
Alcohol-Induced Peripheral Neuropathy,MeSH,Neurotoxicity Syndromes
Alcohol-Induced Persisting Amnestic Disorder,MeSH,Neurotoxicity Syndromes
Alcohol-Induced Polyneuropathies,MeSH,Neurotoxicity Syndromes
Alcohol-Induced Polyneuropathy,MeSH,Neurotoxicity Syndromes
Alcohol-Related Autonomic Polyneuropathies,MeSH,Neurotoxicity Syndromes
Alcohol-Related Autonomic Polyneuropathy,MeSH,Neurotoxicity Syndromes
Alcohol-Related Polyneuropathies,MeSH,Neurotoxicity Syndromes
Alcohol-Related Polyneuropathy,MeSH,Neurotoxicity Syndromes
Alcohol-Related Seizure,MeSH,Neurotoxicity Syndromes
Alcohol-Related Seizures,MeSH,Neurotoxicity Syndromes
Alcohol-induced anxiety disorder,ICD,Diseases of the nervous system
Alcohol-induced delirium,ICD,Diseases of the nervous system
Alcohol-induced mood disorder,ICD,Diseases of the nervous system
Alcohol-induced mood disorder with depressive symptoms,ICD,Diseases of the nervous system
Alcohol-induced mood disorder with manic symptoms,ICD,Diseases of the nervous system
Alcohol-induced mood disorder with mixed depressive and manic symptoms,ICD,Diseases of the nervous system
Alcohol-induced psychotic disorder,ICD,Diseases of the nervous system
Alcohol-induced psychotic disorder with delusions,ICD,Diseases of the nervous system
Alcohol-induced psychotic disorder with hallucinations,ICD,Diseases of the nervous system
Alcohol-induced psychotic disorder with mixed psychotic symptoms,ICD,Diseases of the nervous system
Alcohol-related neurological disorders,ICD,Diseases of the nervous system
Alcoholic Korsakoff Syndrome,MeSH,Neurotoxicity Syndromes
Alcoholic Neuropathies,MeSH,Neurotoxicity Syndromes
Alcoholic Neuropathy,MeSH,Neurotoxicity Syndromes
Alcoholic Polyneuritides,MeSH,Neurotoxicity Syndromes
Alcoholic Polyneuritis,MeSH,Neurotoxicity Syndromes
Alcoholic Polyneuropathies,MeSH,Neurotoxicity Syndromes
Alcoholic Polyneuropathy,MeSH,Neurotoxicity Syndromes
Alcoholic Seizure,MeSH,Neurotoxicity Syndromes
Alcoholic Seizures,MeSH,Neurotoxicity Syndromes
Alcoholic Wernicke Korsakoff Syndrome,MeSH,Neurotoxicity Syndromes
Alcoholic Wernicke-Korsakoff Syndrome,MeSH,Neurotoxicity Syndromes
Alcoholic jealousy,ICD,Diseases of the nervous system
Alcoholic myopathy,ICD,Diseases of the nervous system
Alcoholic polyneuropathy,ICD,Diseases of the nervous system
"Alcoholic psychosis, paranoid type",ICD,Diseases of the nervous system
Alexander Disease,MeSH,Neurodegenerative Diseases
Alexander disease,ICD,Diseases of the nervous system
Alexander disease infantile form,ICD,Diseases of the nervous system
Alexander disease juvenile form,ICD,Diseases of the nervous system
Alexander's Disease,MeSH,Neurodegenerative Diseases
Alexanders Disease,MeSH,Neurodegenerative Diseases
Alexander’s disease adult form,ICD,Diseases of the nervous system
Alexia,ICD,Diseases of the nervous system
Alexia Syndrome Without Agraphia,MeSH,Neurologic Manifestations
Alexia Without Agraphia,MeSH,Neurologic Manifestations
Alexia Without Agraphias,MeSH,Neurologic Manifestations
"Alexia, Pure",MeSH,Neurologic Manifestations
"Alexias, Pure",MeSH,Neurologic Manifestations
Alice in Wonderland Syndrome,MeSH,Neurologic Manifestations
Alien Limb Phenomenon,MeSH,Neurologic Manifestations
Alien Limb Phenomenons,MeSH,Neurologic Manifestations
Alien Limb Syndrome,MeSH,Neurologic Manifestations
Alien Limb Syndromes,MeSH,Neurologic Manifestations
Allachesthesia,MeSH,Neurologic Manifestations
Allachesthesias,MeSH,Neurologic Manifestations
"Allergic Encephalomyelitis, Experimental",MeSH,Autoimmune Diseases of the Nervous System
"Allergic Neuritis, Experimental",MeSH,Autoimmune Diseases of the Nervous System
Allergic reaction to serum,ICD,Diseases of the nervous system
Allesthesia,MeSH,Neurologic Manifestations
Allesthesias,MeSH,Neurologic Manifestations
Allodynia,ICD,Diseases of the nervous system
Alloesthesia,MeSH,Neurologic Manifestations
Alloesthesias,MeSH,Neurologic Manifestations
Alobar holoprosencephaly,ICD,Diseases of the nervous system
Alogia,MeSH,Neurologic Manifestations
Alogias,MeSH,Neurologic Manifestations
Alpha B crystalline myopathy,ICD,Diseases of the nervous system
Alpha High Density Lipoprotein Deficiency Disease,MeSH,Neuromuscular Diseases
Alpha-Fucosidase Deficiency,MeSH,Central Nervous System Diseases
Alpha-Glucosidase Deficiencies,MeSH,Central Nervous System Diseases
"Alpha-Glucosidase Deficiencies, Acid",MeSH,Central Nervous System Diseases
Alpha-Glucosidase Deficiency,MeSH,Central Nervous System Diseases
"Alpha-Glucosidase Deficiency, Acid",MeSH,Central Nervous System Diseases
Alstrom Hallgren Syndrome,MeSH,Nervous System Malformations
Alstrom Syndrome,MeSH,Nervous System Malformations
Alstrom's Syndrome,MeSH,Nervous System Malformations
Alstrom-Hallgren Syndrome,MeSH,Nervous System Malformations
Alstroms Syndrome,MeSH,Nervous System Malformations
Alström Syndrome,MeSH,Nervous System Malformations
Alternating hemiplegia,ICD,Diseases of the nervous system
Alternating hemiplegia of childhood,ICD,Diseases of the nervous system
"Alveolar Hypoventilation, Central",MeSH,Sleep Wake Disorders
"Alveolar Hypoventilations, Central",MeSH,Sleep Wake Disorders
Alzheimer Dementia,MeSH,Neurodegenerative Diseases
Alzheimer Dementias,MeSH,Neurodegenerative Diseases
Alzheimer Disease,MeSH,Neurodegenerative Diseases
Alzheimer Diseases,MeSH,Neurodegenerative Diseases
Alzheimer Sclerosis,MeSH,Neurodegenerative Diseases
Alzheimer Syndrome,MeSH,Neurodegenerative Diseases
Alzheimer Type Dementia,MeSH,Neurodegenerative Diseases
Alzheimer Type Dementia (ATD),MeSH,Neurodegenerative Diseases
Alzheimer Type Senile Dementia,MeSH,Neurodegenerative Diseases
Alzheimer disease,ICD,Diseases of the nervous system
Alzheimer disease dementia with depression,ICD,Diseases of the nervous system
Alzheimer disease dementia with psychosis,ICD,Diseases of the nervous system
"Alzheimer disease dementia, mixed type, with cerebrovascular disease",ICD,Diseases of the nervous system
"Alzheimer disease dementia, mixed type, with other nonvascular aetiologies",ICD,Diseases of the nervous system
Alzheimer disease without dementia,ICD,Diseases of the nervous system
Alzheimer's Disease,MeSH,Neurodegenerative Diseases
Alzheimer's Diseases,MeSH,Neurodegenerative Diseases
Alzheimer-Type Dementia (ATD),MeSH,Neurodegenerative Diseases
Alzheimers Diseases,MeSH,Neurodegenerative Diseases
Amaurosis Fugax,MeSH,Neurologic Manifestations
Amaurosis fugax,ICD,Diseases of the nervous system
Amblyopia,MeSH,Neurologic Manifestations
Amblyopias,MeSH,Neurologic Manifestations
"Ambulation Disorder, Neurologic",MeSH,Neurologic Manifestations
"Ambulation Disorders, Neurologic",MeSH,Neurologic Manifestations
Amelo-cerebro-hypohidrotic syndrome,ICD,Diseases of the nervous system
Amelo-onycho-hypohidrotic syndrome,ICD,Diseases of the nervous system
Amentia,MeSH,Central Nervous System Diseases
Amentias,MeSH,Central Nervous System Diseases
Amimia,ICD,Diseases of the nervous system
"Amino Acid Transport Disorder, Neutral",MeSH,Central Nervous System Diseases
Amish nemaline myopathy,ICD,Diseases of the nervous system
Amnesia,MeSH,Neurologic Manifestations
Amnesia Memory Loss,MeSH,Neurologic Manifestations
"Amnesia, Transient Global",MeSH,Central Nervous System Diseases
Amnesia-Memory Loss,MeSH,Neurologic Manifestations
Amnesia-Memory Losses,MeSH,Neurologic Manifestations
Amnesias,MeSH,Neurologic Manifestations
Amnesic Aphasia,MeSH,Neurologic Manifestations
"Amnestic Disorder, Alcohol",MeSH,Neurotoxicity Syndromes
"Amnestic Psychoses, Alcohol-Induced",MeSH,Neurotoxicity Syndromes
"Amnestic Psychosis, Alcohol Induced",MeSH,Neurotoxicity Syndromes
"Amnestic Psychosis, Alcohol-Induced",MeSH,Neurotoxicity Syndromes
"Amnestic Syndrome, Alcohol-Induced",MeSH,Neurotoxicity Syndromes
"Amnestic Syndromes, Alcohol-Induced",MeSH,Neurotoxicity Syndromes
Amnestic aphasia,ICD,Diseases of the nervous system
Amnestic disorder,ICD,Diseases of the nervous system
Amnestic disorder due to diseases classified elsewhere,ICD,Diseases of the nervous system
Amnestic disorder due to multiple aetiological factors,ICD,Diseases of the nervous system
Amnestic disorder due to other specified psychoactive substance including medications,ICD,Diseases of the nervous system
Amnestic disorder due to psychoactive substances including medications,ICD,Diseases of the nervous system
Amnestic disorder due to use of alcohol,ICD,Diseases of the nervous system
"Amnestic disorder due to use of sedatives, hypnotics or anxiolytics",ICD,Diseases of the nervous system
Amnestic disorder due to use of volatile inhalants,ICD,Diseases of the nervous system
Amoebic abscess of brain and liver,ICD,Diseases of the nervous system
"Amoebic abscess of brain, liver, and lung",ICD,Diseases of the nervous system
Amoebic brain abscess,ICD,Diseases of the nervous system
Amphetamine abuse,ICD,Diseases of the nervous system
Amphetamine intoxication,ICD,Diseases of the nervous system
Amputation stump contracture,ICD,Diseases of the nervous system
Amputation stump haemorrhage,ICD,Diseases of the nervous system
Amputation stump oedema,ICD,Diseases of the nervous system
"Amstelodamensis, Typus Degenerativus",MeSH,Neurologic Manifestations
Amusia,ICD,Diseases of the nervous system
Amyelencephaly,ICD,Diseases of the nervous system
Amyelia,ICD,Diseases of the nervous system
"Amyloid Angiopathy, Cerebral",MeSH,Central Nervous System Diseases
Amyloid Neuropathies,MeSH,Neuromuscular Diseases
"Amyloid Neuropathies, Familial",MeSH,Neuromuscular Diseases
Amyloid Neuropathy,MeSH,Neuromuscular Diseases
"Amyloid Neuropathy, Familial",MeSH,Neuromuscular Diseases
Amyloid Polyneuropathies,MeSH,Neuromuscular Diseases
"Amyloid Polyneuropathies, Familial",MeSH,Neuromuscular Diseases
Amyloid Polyneuropathy,MeSH,Neuromuscular Diseases
"Amyloid Polyneuropathy, Familial",MeSH,Neuromuscular Diseases
Amyloid autonomic neuropathy,ICD,Diseases of the nervous system
"Amyloidoses, Hereditary Neuropathic",MeSH,Neuromuscular Diseases
"Amyloidosis, Hereditary Neuropathic",MeSH,Neuromuscular Diseases
Amyopathic dermatomyositis,ICD,Diseases of the nervous system
Amyopathic juvenile dermatomyositis,ICD,Diseases of the nervous system
Amyotrophic Lateral Sclerosis,MeSH,Central Nervous System Diseases
Amyotrophic lateral sclerosis,ICD,Diseases of the nervous system
Amyotrophic lateral sclerosis with autonomic dysfunction,ICD,Diseases of the nervous system
Amyotrophic lateral sclerosis with cerebellar dysfunction,ICD,Diseases of the nervous system
Amyotrophic lateral sclerosis with frontotemporal dementia,ICD,Diseases of the nervous system
Amyotrophic lateral sclerosis with multiple system atrophy,ICD,Diseases of the nervous system
Amyotrophic lateral sclerosis with parkinsonism,ICD,Diseases of the nervous system
Amyotrophic lateral sclerosis with spinocerebellar ataxia,ICD,Diseases of the nervous system
Amyotrophic lateral sclerosis-Plus,ICD,Diseases of the nervous system
Amyotrophic lateral sclerosis-parkinsonism-dementia complex of Guam,ICD,Diseases of the nervous system
Amyotrophic lateral sclerosis-parkinsonism-dementia complex of Kii Peninsula,ICD,Diseases of the nervous system
Amyotrophic lateral sclerosis-parkinsonism-dementia complex of West New Guinea,ICD,Diseases of the nervous system
"Amyotrophies, Spinal",MeSH,Neuromuscular Diseases
Amyotrophy,ICD,Diseases of the nervous system
"Amyotrophy, Spinal",MeSH,Neuromuscular Diseases
"Amyotrophy, Thenar, Of Carpal Origin",MeSH,Neuromuscular Diseases
Anacusis,ICD,Diseases of the nervous system
Anaesthesia of skin,ICD,Diseases of the nervous system
Anaesthetic death during delivery,ICD,Diseases of the nervous system
Anaesthetic death in pregnancy,ICD,Diseases of the nervous system
Anaesthetic death in the puerperium,ICD,Diseases of the nervous system
Analgesia,ICD,Diseases of the nervous system
"Analgesia, Congenital",MeSH,Neuromuscular Diseases
Analphalipoproteinemia,MeSH,Neuromuscular Diseases
Analphalipoproteinemias,MeSH,Neuromuscular Diseases
Anankastia in personality disorder or personality difficulty,ICD,Diseases of the nervous system
Anankastic personality disorder,ICD,Diseases of the nervous system
Anaphylactic shock due to serum,ICD,Diseases of the nervous system
Anarthria,ICD,Diseases of the nervous system
Anderson Fabry Disease,MeSH,Central Nervous System Diseases
Anderson-Fabry Disease,MeSH,Central Nervous System Diseases
Anencephalia,MeSH,Nervous System Malformations
Anencephalias,MeSH,Nervous System Malformations
Anencephalus,MeSH,Nervous System Malformations
Anencephaly,MeSH|ICD,Diseases of the nervous system|Nervous System Malformations
Anencephaly or similar anomalies,ICD,Diseases of the nervous system
Anencephaly without rachischisis,ICD,Diseases of the nervous system
Anepia,MeSH,Neurologic Manifestations
Anepias,MeSH,Neurologic Manifestations
Anesthesia Emergence Delirium,MeSH,Neurologic Manifestations
"Aneurysm, Intracranial",MeSH,Central Nervous System Diseases
Aneurysmal subarachnoid haemorrhage,ICD,Diseases of the nervous system
"Aneurysms, Intracranial",MeSH,Central Nervous System Diseases
Angelman Syndrome,MeSH,Central Nervous System Diseases
"Angiitis, Central Nervous System",MeSH,Central Nervous System Diseases
Angiokeratoma Corporis Diffusum,MeSH,Central Nervous System Diseases
Angiokeratoma Diffuse,MeSH,Central Nervous System Diseases
"Angiokeratoma, Diffuse",MeSH,Central Nervous System Diseases
"Angioma, CNS Venous",MeSH,Nervous System Malformations
"Angioma, Venous, Central Nervous System",MeSH,Nervous System Malformations
"Angiomas, CNS Venous",MeSH,Nervous System Malformations
"Angiomatoses, Familial Cerebello-Retinal",MeSH,Neurocutaneous Syndromes
"Angiomatoses, Familial Cerebelloretinal",MeSH,Neurocutaneous Syndromes
Angiomatosis Oculoorbital-Thalamic Syndrome,MeSH,Neurocutaneous Syndromes
Angiomatosis Retinae,MeSH,Neurocutaneous Syndromes
"Angiomatosis, Familial Cerebello-Retinal",MeSH,Neurocutaneous Syndromes
"Angiomatosis, Familial Cerebelloretinal",MeSH,Neurocutaneous Syndromes
"Angiomatosis, Meningo-Oculo-Facial",MeSH,Neurocutaneous Syndromes
"Angiopathy, Cerebral Amyloid",MeSH,Central Nervous System Diseases
"Angiopathy, Congophilic",MeSH,Central Nervous System Diseases
"Angiospasm, Intracranial",MeSH,Central Nervous System Diseases
"Angiospasms, Intracranial",MeSH,Central Nervous System Diseases
Anhedonia,MeSH,Neurologic Manifestations
Anhedonias,MeSH,Neurologic Manifestations
Anisocoria,MeSH,Neurologic Manifestations
Anochlesia,MeSH,Neurologic Manifestations
Anochlesias,MeSH,Neurologic Manifestations
"Anomalies, Nervous System",MeSH,Nervous System Malformations
Anomalous Cervical Rib Syndrome,MeSH,Neuromuscular Diseases
"Anomaly, Nervous System",MeSH,Nervous System Malformations
Anomia,MeSH|ICD,Diseases of the nervous system|Neurologic Manifestations
Anomic Aphasia,MeSH,Neurologic Manifestations
Anomic Dysphasia,MeSH,Neurologic Manifestations
